t=2025-11-23T23:58:06+0530 lvl=info msg="no configuration paths supplied"
t=2025-11-23T23:58:06+0530 lvl=info msg="using configuration at default config path" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-23T23:58:06+0530 lvl=info msg="open config file" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-23T23:58:06+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-11-23T23:58:06+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-23T23:58:07+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-23T23:58:07+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-23T23:58:07+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://grandmotherly-enoch-nonprotuberantly.ngrok-free.dev
t=2025-11-23T23:58:37+0530 lvl=warn msg="failed to open private leg" id=7d8043768a18 privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2025-11-23T23:59:36+0530 lvl=info msg="join connections" obj=join id=61e7c85109e4 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60058
t=2025-11-24T00:00:10+0530 lvl=info msg="join connections" obj=join id=e70685c7b296 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:11+0530 lvl=info msg="join connections" obj=join id=32428cf4df23 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:11+0530 lvl=info msg="join connections" obj=join id=d5ce5bc878d1 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:21+0530 lvl=info msg="join connections" obj=join id=e232d2c2e8fc l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:21+0530 lvl=info msg="join connections" obj=join id=2ec3ef59790a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=480a8f13b2fd l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=217142024af2 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=4da5e6555fb4 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=5a2a684c5956 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60101
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=f983bb3c6865 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=69c024fb8387 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:22+0530 lvl=info msg="join connections" obj=join id=6140d4fb5f5b l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:37+0530 lvl=info msg="join connections" obj=join id=57278a5c1acd l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:43396
t=2025-11-24T00:00:37+0530 lvl=info msg="join connections" obj=join id=d55fff5a0d93 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:43396
t=2025-11-24T00:00:37+0530 lvl=info msg="join connections" obj=join id=f919f1b1d9fe l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:43396
t=2025-11-24T00:00:46+0530 lvl=info msg="join connections" obj=join id=ea09e16ca3b9 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:46+0530 lvl=info msg="join connections" obj=join id=53a2174f86a5 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:46+0530 lvl=info msg="join connections" obj=join id=a27169237447 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:47+0530 lvl=info msg="join connections" obj=join id=002c2d551a0d l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:47+0530 lvl=info msg="join connections" obj=join id=0c2855eb374e l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:47+0530 lvl=info msg="join connections" obj=join id=5cfef27ee71a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:47+0530 lvl=info msg="join connections" obj=join id=862abe79fa31 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:47+0530 lvl=info msg="join connections" obj=join id=31b877311b27 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40118
t=2025-11-24T00:00:47+0530 lvl=info msg="join connections" obj=join id=dba601477900 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:49+0530 lvl=info msg="join connections" obj=join id=7f9570e7f0f8 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:00:49+0530 lvl=info msg="join connections" obj=join id=652bbf728024 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:51+0530 lvl=info msg="join connections" obj=join id=c0c015979259 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:00:51+0530 lvl=info msg="join connections" obj=join id=43803bd40e4a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:01:21+0530 lvl=info msg="join connections" obj=join id=e536c677471c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:01:21+0530 lvl=info msg="join connections" obj=join id=124180f32b09 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:01:25+0530 lvl=info msg="join connections" obj=join id=cafa2dd3822a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:01:26+0530 lvl=info msg="join connections" obj=join id=9716a3268152 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:01:28+0530 lvl=info msg="join connections" obj=join id=6e8e906436d9 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40104
t=2025-11-24T00:01:51+0530 lvl=info msg="join connections" obj=join id=64c0baf07907 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:01:51+0530 lvl=info msg="join connections" obj=join id=b24b843eac05 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:02:22+0530 lvl=info msg="join connections" obj=join id=9c964d810d38 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:02:22+0530 lvl=info msg="join connections" obj=join id=1c9eb4df87f8 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:02:52+0530 lvl=info msg="join connections" obj=join id=73330daeb45a l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:02:52+0530 lvl=info msg="join connections" obj=join id=d693371e1832 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:03:22+0530 lvl=info msg="join connections" obj=join id=4fc92ed19e9b l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:03:22+0530 lvl=info msg="join connections" obj=join id=c6d1af8a72b1 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:03:52+0530 lvl=info msg="join connections" obj=join id=afd1f9ea8a37 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
